Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-089,2000,16.7,61,3.66,40,10,4,2,4,1,5,0.30,3,0,0,1,0,1,Matches,5bc43860
2,Che Adams,sct SCO,FW,Southampton,26-190,1996,15.8,42,2.66,33,1,1,4,3,0,5,0.32,3,0,0,0,2,0,Matches,f2bf1b0f
3,Tyler Adams,us USA,MF,Leeds United,23-339,1999,16.0,31,1.94,30,0,0,0,1,0,1,0.06,1,0,0,0,0,0,Matches,2b09d998
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-117,1997,12.2,5,0.41,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c81d773d
5,Nayef Aguerd,ma MAR,DF,West Ham,26-295,1996,2.8,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,288e1e13
6,Rayan Aït Nouri,fr FRA,DF,Wolves,21-227,2001,8.6,23,2.67,15,2,4,1,1,0,0,0.00,0,0,0,0,0,0,Matches,9b398aea
7,Kristoffer Ajer,no NOR,DF,Brentford,24-277,1998,6.5,4,0.62,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a8c0acb7
8,Manuel Akanji,ch SUI,DF,Manchester City,27-184,1995,11.3,14,1.24,14,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,89ac64a6
9,Nathan Aké,nl NED,DF,Manchester City,27-335,1995,10.3,11,1.06,8,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,eaeca114
10,Marc Albrighton,eng ENG,FWMF,Leicester City,33-062,1989,2.0,7,3.48,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b827d5b3
11,Thiago Alcántara,es ESP,MF,Liverpool,31-283,1991,10.9,30,2.76,25,0,1,1,1,2,2,0.18,2,0,0,0,0,0,Matches,77e84962
12,Carlos Alcaraz,ar ARG,MF,Southampton,20-050,2002,0.3,1,3.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4abac767
13,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-104,1998,14.8,59,3.99,36,19,1,3,0,0,5,0.34,4,1,0,0,0,0,Matches,cd1acf9d
14,Alisson,br BRA,GK,Liverpool,30-109,1992,18.0,2,0.11,2,0,0,0,0,0,1,0.06,1,0,0,0,0,0,Matches,7a2e46a8
15,Dele Alli,eng ENG,MF,Everton,26-283,1996,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cea4ee8f
16,Miguel Almirón,py PAR,FW,Newcastle Utd,28-343,1994,17.5,53,3.04,39,1,5,5,3,0,9,0.52,3,1,4,1,0,0,Matches,862a1c15
17,Julián Álvarez,ar ARG,FWMF,Manchester City,22-353,2000,4.1,13,3.18,10,0,1,2,0,0,0,0.00,0,0,0,0,0,0,Matches,15ab5a2b
18,Daniel Amartey,gh GHA,DF,Leicester City,28-029,1994,14.2,14,0.99,14,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,1a4ef233
19,Joachim Andersen,dk DEN,DF,Crystal Palace,26-233,1996,16.4,10,0.61,9,1,0,0,0,0,1,0.06,0,1,0,0,0,0,Matches,e34fc66d
20,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-074,2002,1.2,9,7.79,4,0,1,0,4,0,0,0.00,0,0,0,0,0,0,Matches,de31038e
21,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-049,1999,6.1,17,2.78,11,2,1,1,1,1,1,0.16,0,0,0,0,1,0,Matches,e4238fb1
